"bill_id","pvs_title","candidate_session","candidate_summary","match"
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-RS","Relating to the enforcement of certain federal laws regulating oil and gas operations within the State of Texas.","Y"
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS1","Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS2","Relating to electronic voter registration.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS3","Relating to certain requirements for the operational component of a local workforce development board's local plan.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS4","Relating to the authority of the legislature, courts, the governor, and other state and local officials regarding declared states of disaster.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-RS","General Appropriations Bill.","Y"
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS1","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS2","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS3","Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS4","Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.",""
"HB0005","Establishes Economic Incentives for Oil and Gas Companies","88-RS","Relating to agreements authorizing a limitation on taxable value of certain property to provide for the creation of jobs and the generation of state and local tax revenue; authorizing fees; authorizing penalties.","Y"
"HB0005","Establishes Economic Incentives for Oil and Gas Companies","88-SS1","Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.",""
"HB0005","Establishes Economic Incentives for Oil and Gas Companies","88-SS3","Relating to the punishment for certain criminal conduct involving the smuggling of persons or the operation of a stash house; increasing criminal penalties.",""
"HB0007","Authorizes the Creation of State Border Police","88-RS","Relating to measures to address public safety threats in this state presented by transnational criminal activity, including by establishing a Texas Border Force, and to compensate persons affected by those threats; increasing criminal penalties; creating criminal offenses.","Y"
"HB0007","Authorizes the Creation of State Border Police","88-SS1","Relating to prohibiting the transfer of semiautomatic rifles to certain recipients; increasing a criminal penalty.",""
"HB0007","Authorizes the Creation of State Border Police","88-SS3","Relating to prohibiting a private employer from adopting or enforcing certain COVID-19 vaccine mandates; authorizing an administrative penalty.",""
"SB0011","Establishes a New State Crime for Illegally Entering Texas from a Foreign Nation","88-RS","Relating to measures for ensuring safety and security in public schools, including measures related to the health and safety of public school students and active shooter training for certain peace officers.",""
"SB0011","Establishes a New State Crime for Illegally Entering Texas from a Foreign Nation","88-SS2","Relating to bond requirements for certain judges.",""
"SB0011","Establishes a New State Crime for Illegally Entering Texas from a Foreign Nation","88-SS3","Relating to the creation of the criminal offense of improper entry from a foreign nation.","Y"
"SB0011","Establishes a New State Crime for Illegally Entering Texas from a Foreign Nation","88-SS4","Relating to the basic allotment and guaranteed yield under the Foundation School Program, including an adjustment in those amounts to reflect inflation.",""
"SB0015","Requires Transgender Student Athletes Play Against Those of Their Biological Sex","88-RS","Relating to requiring public institution of higher education students who compete in intercollegiate athletic competitions to compete based on biological sex.","Y"
"SB0015","Requires Transgender Student Athletes Play Against Those of Their Biological Sex","88-SS2","Relating to associate judges for guardianship proceedings and protective services proceedings in certain courts.",""
"SB0015","Requires Transgender Student Athletes Play Against Those of Their Biological Sex","88-SS3","Relating to the persons authorized or appointed to exercise the power of sale under the terms of a contract lien on real property.",""
"SB0015","Requires Transgender Student Athletes Play Against Those of Their Biological Sex","88-SS4","Relating to the establishment of a grant program for school districts or open-enrollment charter school campuses that are designated as full-service community schools.",""
"SB0017","Repeals Diversity, Equity, and Inclusion Trainings and Initiatives at State Universities","88-RS","Relating to diversity, equity, and inclusion initiatives at public institutions of higher education.","Y"
"SB0017","Repeals Diversity, Equity, and Inclusion Trainings and Initiatives at State Universities","88-SS1","Relating to the right of a public school employee to engage in religious speech or prayer while on duty.",""
"SB0017","Repeals Diversity, Equity, and Inclusion Trainings and Initiatives at State Universities","88-SS3","Relating to the creation of the Travis County Municipal Utility District No. 27; granting a limited power of eminent domain; providing authority to issue bonds; providing authority to impose assessments, fees, and taxes.",""
"SB0017","Repeals Diversity, Equity, and Inclusion Trainings and Initiatives at State Universities","88-SS4","Relating to the development and implementation of the Live Well Texas program and the expansion of Medicaid eligibility to provide health benefit coverage to certain individuals; imposing penalties.",""
"SB0001","Establishes a School Choice Voucher Program","88-RS","General Appropriations Bill.",""
"SB0001","Establishes a School Choice Voucher Program","88-SS1","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression, an increase in the amount of certain exemptions from ad valorem taxation by a school district applicable to residence homesteads, an adjustment in the amount of the limitation on school district ad valorem taxes imposed on the residence homesteads of the elderly or disabled to reflect increases in the exemption amounts, and the protection of school districts against the resulting loss in local revenue.",""
"SB0001","Establishes a School Choice Voucher Program","88-SS2","Relating to providing property tax relief through the public school finance system, exemptions, and limitations on taxes and providing franchise tax relief.",""
"SB0001","Establishes a School Choice Voucher Program","88-SS3","Relating to the establishment of an education savings account program.","Y"
"SB0001","Establishes a School Choice Voucher Program","88-SS4","Relating to the establishment of an education savings account program.",""
"SB0002","Classifies Illegal Voting as a Felony","88-RS","Relating to conduct constituting the criminal offense of illegal voting; increasing a criminal penalty.","Y"
"SB0002","Classifies Illegal Voting as a Felony","88-SS1","Relating to the creation of the criminal offense of improper entry from a foreign nation.",""
"SB0002","Classifies Illegal Voting as a Felony","88-SS2","Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration; authorizing the imposition of a fee.",""
"SB0002","Classifies Illegal Voting as a Felony","88-SS3","Relating to a local optional teacher designation system implemented by a school district, a security officer employed by a school district, the basic allotment and guaranteed yield under the public school finance system, and certain allotments under the Foundation School Program; making an appropriation.",""
"SB0002","Classifies Illegal Voting as a Felony","88-SS4","Relating to a local optional teacher designation system implemented by a school district, the basic allotment and guaranteed yield under the public school finance system, and certain allotments under the Foundation School Program; making an appropriation.",""
"SB0003","Appropriates $1.5 Billion for the Construction of a Border Wall","88-RS","Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration.",""
"SB0003","Appropriates $1.5 Billion for the Construction of a Border Wall","88-SS1","Relating to the punishment for the criminal offense of operation of a stash house; increasing a criminal penalty.",""
"SB0003","Appropriates $1.5 Billion for the Construction of a Border Wall","88-SS2","Relating to the amount of the total revenue exemption for the franchise tax and the exclusion of certain taxable entities from the requirement to file a franchise tax report.",""
"SB0003","Appropriates $1.5 Billion for the Construction of a Border Wall","88-SS4","Relating to an appropriation to provide funding for the construction, operation, and maintenance of border barrier infrastructure and border security operations, including funding for additional overtime expenses and costs due to certain increased law enforcement presence.","Y"
"SB0004","Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor","88-RS","Relating to the maximum compressed tax rate of a school district.",""
"SB0004","Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor","88-SS1","Relating to the punishment for the offense of trafficking of persons.",""
"SB0004","Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor","88-SS3","Relating to the punishment for certain criminal conduct involving the smuggling of persons or the operation of a stash house; increasing criminal penalties.",""
"SB0004","Amends State Criminal Code to Establish Illegal Entry Across the Border as a Class B Misdemeanor","88-SS4","Relating to prohibitions on the illegal entry into or illegal presence in this state by a person who is an alien, the enforcement of those prohibitions and certain related orders, including immunity from liability and indemnification for enforcement actions, and authorizing or requiring under certain circumstances the removal of persons who violate those prohibitions; creating criminal offenses.","Y"
"SB0004","Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House","88-RS","Relating to the maximum compressed tax rate of a school district.",""
"SB0004","Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House","88-SS1","Relating to the punishment for the offense of trafficking of persons.",""
"SB0004","Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House","88-SS3","Relating to the punishment for certain criminal conduct involving the smuggling of persons or the operation of a stash house; increasing criminal penalties.","Y"
"SB0004","Increases Criminal Penalties for Immigrant Smuggling or Operating a Stash House","88-SS4","Relating to prohibitions on the illegal entry into or illegal presence in this state by a person who is an alien, the enforcement of those prohibitions and certain related orders, including immunity from liability and indemnification for enforcement actions, and authorizing or requiring under certain circumstances the removal of persons who violate those prohibitions; creating criminal offenses.",""
"SB0006","Establishes the Texas Energy Insurance Program","88-RS","Relating to the establishment of the Texas Energy Insurance Program and other funding mechanisms to support the construction and operation of electric generating facilities.","Y"
"SB0006","Establishes the Texas Energy Insurance Program","88-SS1","Relating to prohibiting the transfer of certain semiautomatic rifles to certain recipients; creating a criminal offense; increasing a criminal penalty.",""
"SB0006","Establishes the Texas Energy Insurance Program","88-SS2","Relating to prohibiting the transfer of certain semiautomatic rifles to certain recipients; creating a criminal offense; increasing a criminal penalty.",""
"SB0006","Establishes the Texas Energy Insurance Program","88-SS3","Relating to an appropriation for border security.",""
"SB0006","Establishes the Texas Energy Insurance Program","88-SS4","Relating to requirements for trial in the contest of an election on a proposed constitutional amendment.",""
"SB0007","Prohibits Private Employers from Requiring the COVID-19 Vaccine","88-RS","Relating to the reliability of the ERCOT power grid.",""
"SB0007","Prohibits Private Employers from Requiring the COVID-19 Vaccine","88-SS1","Relating to regulating certain firearm transfers, possession of certain firearms, and protective orders prohibiting possession of a firearm; creating criminal offenses; increasing criminal penalties.",""
"SB0007","Prohibits Private Employers from Requiring the COVID-19 Vaccine","88-SS2","Relating to the provision to school district property tax payers and the public of certain information regarding the use of property tax revenue paid to the district.",""
"SB0007","Prohibits Private Employers from Requiring the COVID-19 Vaccine","88-SS3","Relating to prohibiting a private employer from adopting or enforcing certain COVID-19 vaccine mandates; authorizing an administrative penalty.","Y"
"SR0002","Establishes Redistricting Rules of Procedure","88-RS","Establishing redistricting rules for the 88th Legislature.","Y"
"SR0002","Establishes Redistricting Rules of Procedure","88-SS1","Recognizing the Dallas Fort Worth International Airport for receiving a 2022 ASQ award.",""
"SR0002","Establishes Redistricting Rules of Procedure","88-SS2","In memory of Jerry Strickland Harris.",""
"SR0002","Establishes Redistricting Rules of Procedure","88-SS3","Recognizing Israel's right to use decisive force in defending its citizens and reaffirming Texas' support for Israel.",""
"SR0002","Establishes Redistricting Rules of Procedure","88-SS4","Recognizing Isaac McAllen for achieving the rank of Eagle Scout.",""
